松视,#genre#
驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
九州惊艳,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
九州潘朵啦,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
九州彩虹,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
九州松1,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
九州松2,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
九州松3,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
彩虹e,p3p://167.114.175.6:55331/6062716c0008efc86f76f0c44d55329f
彩虹电影,p3p://167.114.175.6:55331/6253066c00049259f74b05224cf375e6
极限电影,p3p://167.114.175.6:55331/6109e9bb0005fd87fd9ce5ea2c1f18d3
香蕉,p3p://167.114.175.6:55331/60626a760005067e6f5bbecb5816771e
韩国演艺圈潜规则,p3p://167.114.175.6:55331/5fe6d643000a32ae8ca7085f68304b38
小宝寻花,p3p://167.114.175.6:55331/5fee940f000cad40aae3fce963f95891
彩虹频道,p3p://167.114.175.6:55331/63fd589300099ff426db7203798a21f9 
彩虹K,p3p://167.114.175.6:55331/63fd56ec000b5f0d26d4fe1b07963493 
LOOK,p3p://167.114.175.6:55331/606271190002a1266f75aaee0463186a HAPPY,p3p://167.114.175.6:55331/616b79be000a35b17ab2f7b84c325eeb 
松視43台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/91.ts
松视1,p3p://167.114.175.6:55331/5fe445280008a40682a0367c343436bb 
松视2,p3p://167.114.175.6:55331/60232b5f00007bc37850649979e379df 
松视3,p3p://167.114.175.6:55331/6109e9590001f40bfd9b661109395f3b 
华视,http://125.227.210.55:8163/VideoInput/play.ts
卡通,http://125.227.210.55:8167/VideoInput/play.ts
中视,http://123.51.136.80:8301/0.ts
中视新闻,http://123.51.136.80:8302/0.ts
原住民卫视,http://123.51.136.80:8303/0.ts
公视,http://123.51.136.80:8305/0.ts
公视台语,http://123.51.136.80:8306/0.ts
客家卫视,http://123.51.136.80:8307/0.ts
民视,http://123.51.136.80:8308/0.ts
民视第一,http://123.51.136.80:8309/0.ts
民视新闻,http://123.51.136.80:8310/0.ts
民视台湾,http://123.51.136.80:8311/0.ts
小公视,http://123.51.136.80:8312/0.ts
台视,http://123.51.136.80:8313/0.ts
台视新闻,http://123.51.136.80:8314/0.ts
台视财经,http://123.51.136.80:8315/0.ts
台视综合,http://123.51.136.80:8316/0.ts
华视,http://123.51.136.80:8317/0.ts
华视教育体育文化,http://123.51.136.80:8318/0.ts
华视新闻,http://123.51.136.80:8319/0.ts
中视经典,http://123.51.136.80:8321/0.ts
中视菁采,http://123.51.136.80:8322/0.ts
港澳频道-#genre#
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=凤凰中文
凤凰资讯,http://iptv.4666888.xyz/iptv2A.php?id=凤凰资讯
凤凰香港,http://iptv.4666888.xyz/iptv2A.php?id=凤凰香港
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=TVB翡翠
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=TVB明珠
TVBPLUS,http://iptv.4666888.xyz/iptv2A.php?id=TVBPLUS
NOW新闻,http://iptv.4666888.xyz/iptv2A.php?id=NOW新闻
VIUTV,http://iptv.4666888.xyz/iptv2A.php?id=VIUTV
TVB千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=TVB千禧经典
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=TVB1
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=TVBJ1
中天新闻,http://iptv.4666888.xyz/iptv2A.php?id=中天新闻
星空卫视,http://iptv.4666888.xyz/iptv2A.php?id=星空卫视
重温经典,http://iptv.4666888.xyz/iptv2A.php?id=重温经典
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=八度空间
综艺玩很大,http://iptv.4666888.xyz/iptv2A.php?id=综艺玩很大
爱奇艺,http://iptv.4666888.xyz/iptv2A.php?id=爱奇艺
TVBS台剧,http://iptv.4666888.xyz/iptv2A.php?id=TVBS台剧
纬来戏剧,http://iptv.4666888.xyz/iptv2A.php?id=纬来戏剧
凰資訊頻特,https://cdn9.163189.xyz/smt1.1.php?id=phoenixinfo_hd
凰香港頻特,https://cdn9.163189.xyz/smt1.1.php?id=hkphoenix_twn
天新聞頻特,https://cdn9.163189.xyz/smt1.1.php?id=ctinews
新聞頻特,https://cdn9.163189.xyz/smt1.1.php?id=hoycaijing_twn
新聞頻特,https://cdn9.163189.xyz/smt1.1.php?id=inews_twn
無線翡翠頻特,https://cdn9.163189.xyz/smt1.1.php?id=jade_twn
無線翡翠頻特,https://cdn9.163189.xyz/smt1.1.php?id=Jade_xue
無線華麗頻特,https://cdn9.163189.xyz/smt1.1.php?id=Wlt
無線華麗頻特,https://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
無線明珠頻特,https://cdn9.163189.xyz/smt1.1.php?id=pearl_twn
泉娛樂頻特,https://cdn9.163189.xyz/smt1.1.php?id=Tvbentertainment
千禧經典頻特,https://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
VIUTV英頻特,https://cdn9.163189.xyz/smt1.1.php?id=viusix_twn
RTHK-31頻特,https://cdn9.163189.xyz/smt1.1.php?id=rhk31_twn
RTHK-32頻特,https://cdn9.163189.xyz/smt1.1.php?id=rhk32_twn
美亞電影頻特,https://cdn9.163189.xyz/smt1.1.php?id=meiyamovie_twn
天映頻道閩特,https://cdn9.163189.xyz/smt1.1.php?id=Celestial
天映頻道閩特,https://cdn9.163189.xyz/smt1.1.php?id=ctv18_twn


